,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
264,26410108,Jangjeon-dong,장전동,40.515418028521744
265,26410109,Bugok-dong,부곡동,40.3379112422959
266,26410110,Seo-dong,서동,19.96787117235171
267,26410111,Geumsa-dong,금사동,37.67172180489033
268,26410112,Hoedong-dong,회동동,78.53817320350305
269,26410113,Geumseong-dong,금성동,70.72432925217537
270,26440103,Gangdong-dong,강동동,15.846614601095698
271,26440108,Bongnim-dong,봉림동,15.521705337953243
272,26440109,Songjeong-dong,송정동,37.087129034339966
273,26440110,Hwajeon-dong,화전동,55.187161403807735
274,26440111,Noksan-dong,녹산동,64.59423582500472
275,26440112,Saenggok-dong,생곡동,54.59199951818338
276,26440113,Gurang-dong,구랑동,39.04219164575756
277,26440114,Jisa-dong,지사동,70.23191023337321
278,26440115,Mieum-dong,미음동,50.73960889701171
279,26440116,Beombang-dong,범방동,47.8724767951945
280,26440118,Dongseon-dong,동선동,67.35138120615055
281,26440119,Seongbuk-dong,성북동,53.13716326288886
282,26440120,Nulcha-dong,눌차동,22.672285916112227
283,26440121,Cheonseong-dong,천성동,60.352985115682834
284,26440122,Daehang-dong,대항동,25.35392961031367
285,26470101,Geoje-dong,거제동,33.72004876624434
286,26470102,Yeonsan-dong,연산동,59.46613550339958
287,26500101,Mangmi-dong,망미동,23.45642905475658
288,26500102,Suyeong-dong,수영동,16.08699834650078
289,26500103,Millak-dong,민락동,18.53742727048056
290,26500104,Gwangan-dong,광안동,24.557755209234404
291,26500105,Namcheon-dong,남천동,30.79737492114129
292,26530102,Mora-dong,모라동,37.17016895238801
293,26530103,Deokpo-dong,덕포동,16.59030440117859
294,26530104,Gwaebeop-dong,괘법동,48.57760569995474
295,26530105,Gamjeon-dong,감전동,21.69133971361857
296,26530106,Jurye-dong,주례동,51.286306980752435
297,26530107,Hakjang-dong,학장동,46.161107695254145
298,26530108,Eomgung-dong,엄궁동,61.34546497273276
299,26710250,Gijang-eup,기장읍,71.65148426058687
300,26710253,Jangan-eup,장안읍,85.73511826459142
301,26710256,Jeonggwan-eup,정관읍,74.73556176488128
302,26710259,Ilgwang-eup,일광읍,79.51034315827286
303,26710330,Cheolma-myeon,철마면,76.07985690482644
304,27110135,Sijangbungno,시장북로,16.50770261918435
305,27110154,Daesin-dong,대신동,17.197037590757887
306,27110155,Dalseong-dong,달성동,16.539568711724936
307,27140104,Pyeonggwang-dong,평광동,56.15559859088184
308,27140105,Bongmu-dong,봉무동,30.850453693182068
309,27140106,Bullo-dong,불로동,16.394039188147463
310,27140107,Do-dong,도동,40.597453344693676
311,27140109,Ipseok-dong,입석동,16.843446252402895
312,27140110,Geomsa-dong,검사동,20.987154846102786
313,27140111,Bangchon-dong,방촌동,15.272180180665481
314,27140112,Dunsan-dong,둔산동,53.95339640146938
315,27140113,Bu-dong,부동,22.945483105188877
316,27140119,Yonggye-dong,용계동,32.7056603777789
317,27140120,Yuram-dong,율암동,16.597910457764208
318,27140121,Sangmae-dong,상매동,40.30550474686155
319,27140122,Maeyeo-dong,매여동,40.364501199027785
320,27140123,Gaksan-dong,각산동,62.01767675302221
321,27140124,Sinseo-dong,신서동,39.89644234048341
322,27140125,Dongnae-dong,동내동,25.282593994620186
323,27140126,Goejeon-dong,괴전동,27.305046585568178
324,27140128,Daerim-dong,대림동,18.18121357162101
325,27140129,Sabok-dong,사복동,17.310200555073457
326,27140130,Sukcheon-dong,숙천동,44.8899058041942
